"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Cassandra_Potier_Watkins",2,NA,NA,NA,2
"Cassia_C._Carter",6,NA,6,NA,NA
"Cassius_D’helon",14,NA,NA,14,NA
"Catharine_Oertel",1,NA,NA,NA,1
"Catherine_A._Spann",5,NA,NA,5,NA
"Catherine_Chase",7,NA,4,5,3
"Catherine_Garbay",3,NA,NA,3,NA
"Catherine_Lussenhop",6,6,NA,NA,NA
"Catherine_M._Arrington",3,NA,NA,NA,3
"Cecil_Lozano",9,9,NA,NA,NA
"Cecile_Perret",15,NA,11,5,3
"Cecilia_Malbrán",5,NA,NA,5,NA
"Cecilie_Hansen",6,6,NA,NA,NA
"Cecily_Heiner",0,0,NA,NA,NA
"Celeste_Pizarro-Romero",3,NA,NA,NA,3
"Chan_Bae",9,NA,NA,NA,9
"Chandrani_Banerjee",3,NA,NA,NA,3
"Changqin_Huang",5,NA,NA,NA,5
"Charleen_Brand",4,NA,NA,NA,4
"Charles_Amburn",3,NA,NA,3,NA
"Charles_Chimedza",2,NA,NA,NA,2
"Charles_Lang",0,NA,NA,NA,0
"Charles_Thevathayan",2,NA,NA,NA,2
"Charlie_Ragusa",3,NA,NA,3,NA
"Chee-Kit_Looi",3,NA,3,NA,NA
"Chen_Chen",4,NA,NA,4,NA
"Chen_Lin",1,NA,NA,1,NA
"Cherie_Lucas",3,NA,NA,NA,3
"Chiara_Alzetta",4,NA,NA,NA,4
"Chinasa_Odo",2,NA,NA,0,2
"Chou_Ching-En",1,NA,NA,0,1
"Chris_Alvin",3,NA,NA,3,NA
"Chris_Baber",2,NA,NA,2,NA
"Chris_Bogart",5,NA,NA,5,NA
"Chris_Mellish",2,NA,2,NA,NA
"Chris_Wong",0,NA,NA,0,NA
"Christa_Cody",2,NA,NA,2,NA
"Christian_Jones",4,4,NA,NA,NA
"Christian_Rapp",1,NA,NA,1,NA
"Christian_Schunn",11,NA,NA,5,6
"Christian_Soto",10,NA,NA,10,NA
"Christina_Summerside",8,8,NA,NA,NA
"Christine_Wilson",7,7,NA,NA,NA
"Christoph_Igel",3,NA,NA,3,NA
"Christoph_Rensing",2,NA,NA,NA,2
"Christophe_Luxembourger",3,NA,NA,NA,3
"Christopher_Bogart",8,NA,NA,NA,8
"Christopher_Brooks",5,NA,NA,3,3
"Christopher_Doble",4,NA,NA,NA,4
"Christopher_G._Brinton",4,NA,NA,4,NA
"Christopher_G._Lucas",4,NA,NA,NA,4
