"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Cobian__J",2,2,NA,NA,NA
"Cobo__C",5,NA,NA,2,5
"Cody__C",4,NA,NA,4,NA
"Cohen__A",7,NA,NA,NA,7
"Cohen__W.W",2,2,NA,NA,NA
"Coleman__C",2,NA,NA,NA,2
"Collins-Thompson__K",5,NA,NA,5,NA
"Collins-Thompson__K.",2,NA,NA,2,NA
"Conati__C",4,NA,NA,4,NA
"Conati__C.",2,2,NA,NA,NA
"Conrad__S.",1,NA,NA,1,1
"Contractor__D",8,NA,4,6,NA
"Cook__C",3,NA,NA,3,NA
"Cook__J",3,NA,NA,3,NA
"Cooper__K",2,NA,NA,2,NA
"Corbett__A",3,NA,NA,3,NA
"Corbett__A.T.",3,3,NA,NA,NA
"Cosyn__E.",4,NA,NA,4,NA
"Craig__S.D",9,8,4,NA,NA
"Cristea__A.",5,NA,NA,NA,5
"Crossley__S",12,4,3,8,NA
"Crossley__S.",5,NA,NA,5,NA
"Cui__Y.",2,NA,NA,2,NA
"Cunningham__P.",2,NA,2,NA,NA
"Cutumisu__M",3,NA,1,2,NA
"D'Aquin__M.",1,NA,NA,NA,1
"D'Mello__S.K.",13,NA,3,NA,10
"d’Inverno__M.",3,NA,3,NA,NA
"D’Mello__S",2,2,NA,NA,NA
"D’Mello__S.",4,4,NA,NA,NA
"D’Mello__S.K",3,NA,NA,3,NA
"D’Mello__S.K.",24,NA,17,12,NA
"Dai__H",3,NA,NA,NA,3
"Dai__J",4,4,NA,NA,NA
"Dai__Y",2,NA,2,NA,NA
"Daily__Z",3,3,NA,NA,NA
"Dale__M",6,NA,NA,NA,6
"Dalton__E",1,NA,NA,NA,1
"Dang__S",1,NA,NA,NA,1
"Dascalu__M",11,NA,6,5,NA
"Davachi__L",6,NA,NA,6,NA
"Davenport__J",7,2,5,NA,NA
"Davis__A.K",2,NA,NA,NA,2
"Davis__C",5,NA,NA,NA,5
"Davis__D",3,NA,3,NA,NA
"Davis__G.M",2,NA,NA,NA,2
"Davis__R.N",3,NA,NA,3,NA
"Davoodi__A",2,2,NA,NA,NA
"de_Alfaro__L",1,NA,1,NA,NA
"De_Barba__P",4,NA,NA,NA,4
"de_Waal__A.",2,NA,2,NA,NA
"DeBoer__J",5,5,NA,NA,NA
"Dede__C.",1,NA,NA,NA,1
"Dee_Miller__L",1,1,NA,NA,NA
"DeFore__C",4,4,NA,NA,NA
"Demirci__N",2,NA,2,NA,NA
"Deshmukh__O.",8,NA,8,NA,NA
"Desmarais__M",16,NA,3,NA,3
"Desmarais__M.C",7,1,NA,NA,6
"Desmarais__M.C.",4,NA,1,1,3
"Dey__P",9,NA,NA,9,NA
"Deziel__M",3,3,NA,NA,NA
"Dhamecha__T.I",3,NA,NA,3,NA
"Diana__N",6,NA,3,6,NA
"Dibie__O",9,NA,9,NA,NA
"DiCerbo__K.E",1,1,NA,NA,NA
"Dickler__R",2,NA,NA,NA,2
"Dickler__R.",2,NA,NA,2,NA
"Dietrichson__S",2,NA,2,NA,NA
"Dillenbourg__P.",4,NA,4,NA,NA
"Dillon__J",6,NA,6,NA,NA
"Ding__J",3,NA,NA,3,NA
"Ding__X",1,NA,NA,NA,1
"DMello__S",2,2,NA,NA,NA
"Do__C",5,5,NA,NA,NA
"Doan__T.-N",1,NA,NA,NA,1
"Dobashi__K.",0,NA,0,NA,NA
"Doble__C",4,NA,NA,4,NA
"Dogga__P",3,NA,NA,3,NA
"Domeniconi__C",4,NA,4,NA,NA
"Domingue__B",3,NA,NA,3,NA
"Dominguez__M.M",2,NA,2,NA,NA
"Dong__M",2,NA,NA,NA,2
"Dong__Y",7,NA,4,1,5
"Donnelly__P.J",16,NA,11,3,6
"Doroudi__S",3,NA,3,1,NA
"Doshi__S.D.",5,NA,NA,5,NA
"Douglas__K.A.",4,NA,NA,4,1
"Dow__S.P",10,5,5,NA,NA
"Dowell__N.M",5,NA,NA,5,NA
"Drury__B.C",2,NA,NA,2,NA
"Du__X",3,NA,NA,3,NA
"Dubey__A",4,NA,NA,4,NA
"Dubrawski__A.",6,NA,5,NA,2
"Duckworth__A.L",3,NA,NA,NA,3
"Dufresne__A",3,NA,NA,3,NA
"Dufresne__A.",2,NA,NA,NA,2
"Duivesteijn__W",3,NA,NA,3,NA
"Duong__H.D",3,3,NA,NA,NA
"Durand__G",2,NA,NA,2,NA
"Duthen__Y.",3,3,NA,NA,NA
"Dwivedi__U",5,NA,NA,5,NA
"Dziuban__C.D.",1,NA,NA,NA,1
"Eagan__B",5,NA,NA,5,NA
"Eagle__M",21,2,11,11,NA
