"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Kim__Jae_Won",3,NA,3,NA,NA
"Kim__Jihee",4,NA,4,NA,NA
"Kim__Jihie",2,NA,2,NA,NA
"Kim__Juho",30,6,16,5,6
"Kim__Meen_Chul",4,NA,4,NA,NA
"Kim__Suin",3,NA,3,NA,NA
"Kimn__Alex",4,NA,NA,4,NA
"Kinai__Andrew",5,NA,5,NA,NA
"Kindel__Alexander",4,NA,NA,4,NA
"Kinnebrew__John_S.",6,NA,6,NA,NA
"Kinshuk",9,NA,9,NA,NA
"Kizilcec__Ren\'{e}_F.",12,1,3,2,6
"Klemmer__Scott",15,NA,10,8,NA
"Klemmer__Scott_R.",7,7,2,NA,NA
"Klingbeil__Mandy",2,NA,NA,NA,2
"Kloppenberg__Jay",5,NA,NA,NA,5
"Knight__Rob",5,NA,NA,5,NA
"Ko__Amy_J.",4,NA,NA,NA,4
"Kode__Sandhya",9,NA,9,NA,NA
"Koedinger__Ken",3,NA,0,NA,3
"Koedinger__Kenneth",3,NA,NA,NA,3
"Koedinger__Kenneth_R.",10,NA,8,6,NA
"Kohlmeier__Jace",4,4,NA,NA,NA
"Kokkodis__Marios",2,2,NA,NA,NA
"Kolchinski__Y._Alex",3,NA,NA,3,NA
"Kolhe__Pushkar",2,NA,2,NA,NA
"Konomi__Shin'ichi",7,NA,NA,NA,7
"Konstan__Joseph",8,NA,NA,NA,8
"Konstan__Joseph_A.",6,4,NA,2,NA
"Kosciolek__Tomasz",5,NA,NA,5,NA
"Kosturko__Lucy",2,2,NA,NA,NA
"Kotturi__Yasmine",6,NA,5,3,NA
"Kovacs__Geza",0,NA,0,NA,NA
"Kovalkov__Anastasia",2,NA,NA,NA,2
"Kovanovi\'{c}__Vitomir",7,NA,5,4,NA
"Krause__Markus",3,0,3,NA,NA
"Kraut__Robert",8,NA,8,NA,NA
"Krishnan__Sanjay",8,NA,8,NA,NA
"Kross__Sean",1,NA,NA,1,NA
"Krumm__Andrew_E.",7,NA,7,NA,NA
"Kruse__Otto",1,NA,1,NA,NA
"Kulkarni__Chinmay",8,3,5,3,0
"Kulkarni__Chinmay_E.",5,3,4,NA,NA
"Kumar__Arkadeep",2,NA,2,NA,NA
"Kumar__Neha",2,NA,2,NA,NA
"Kumar__Rahul",12,12,NA,NA,NA
"Kumar__Viraj",15,12,7,NA,NA
