"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"D'Mello__S.K.",24,NA,6,9,9
"D’Mello__S.K.",4,NA,NA,4,NA
"Díaz__P.",7,NA,NA,NA,7
"Damelin__D.",8,NA,8,NA,NA
"Danahy__E.",2,2,NA,NA,NA
"Dascalu__M.",7,NA,7,NA,NA
"Dauwels__J.",2,NA,NA,NA,2
"Dauxais__Y.",1,NA,NA,NA,1
"David__Y.B.",2,NA,2,NA,NA
"Davies__R.",3,NA,3,NA,NA
"Davis__C.-S.",4,4,NA,NA,NA
"Davis__D.",20,NA,NA,20,NA
"Davis__J.",1,NA,NA,NA,1
"Davis__S.K.",3,NA,NA,3,NA
"Dawson__S.",51,9,34,20,10
"Dawsony__S.",11,NA,11,NA,NA
"De_Barba__P.",9,3,9,NA,NA
"De_Barba__P.G.",2,NA,NA,2,NA
"De_Croon__R.",4,NA,NA,NA,4
"De_Freitas__S.",3,3,NA,NA,NA
"De_Kereki__I.F.",5,NA,5,NA,NA
"De_Kraker__J.",4,NA,NA,4,NA
"De_Laat__M.",10,10,NA,NA,NA
"De_Laet__T.",10,NA,NA,7,4
"De_Liddo__A.",10,9,5,NA,NA
"De_Mendonca__P.F.",3,NA,NA,3,NA
"De_Quincey__E.",3,NA,NA,NA,3
"De_Rosa__M.",9,NA,NA,NA,9
"De_Salve__A.",2,NA,NA,2,NA
"De_Stefani__J.",4,NA,NA,NA,4
"De_Weerdt__J.",8,NA,NA,3,5
"DeBoer__J.",1,1,NA,NA,NA
"Dede__C.",1,NA,NA,NA,1
"Deeva__G.",5,NA,NA,NA,5
"Demonbrun__R.M.",4,NA,4,2,NA
"Denaro__K.",4,NA,NA,4,NA
"Depaepe__F.",4,NA,NA,2,3
"Desmet__P.",3,NA,NA,NA,3
"Despujol__I.",10,NA,NA,NA,10
"Dessus__P.",3,NA,3,NA,NA
"Devedžić__V.",6,NA,6,NA,NA
"Dey__P.",6,NA,6,NA,NA
"Di_Mitri__D.",5,NA,NA,5,NA
"Diana__N.",5,NA,NA,5,NA
"Diefes-Dux__H.",2,NA,NA,2,NA
"Diego__A.",6,NA,NA,NA,6
"Dietze__S.",11,4,5,6,NA
"Dijkstra__R.",3,NA,NA,NA,3
"Dillenbourg__P.",20,2,11,7,2
"Dillon__J.",6,NA,6,NA,NA
"Dimitriadis__Y.",7,NA,NA,4,3
"Dimitrijević__S.",6,NA,6,NA,NA
"Dimopoulos__I.",2,2,NA,NA,NA
"Ding__M.",6,NA,NA,NA,6
"Ding__W.",3,NA,NA,3,NA
"Diniz__J.R.B.",5,NA,NA,NA,5
"Diriye__A.",4,NA,NA,4,NA
"Divakaran__A.",5,NA,5,NA,NA
"Do__C.-T.",3,NA,3,NA,NA
"Doberstein__D.",2,NA,NA,NA,2
"Dodge__B.",2,NA,2,NA,NA
"Dollinger__M.",1,NA,NA,1,NA
"Domínguez__F.",5,NA,NA,5,NA
"Donald__C.",3,NA,NA,NA,3
"Donnelly__P.J.",5,NA,NA,5,NA
"Dorey-Elias__T.",4,NA,NA,4,NA
"Doroudi__S.",1,NA,NA,NA,1
"Dorsey__C.",8,NA,8,NA,NA
"Dos_Santos__A.D.P.",4,NA,NA,4,NA
"Dos_Santos__H.L.",7,NA,NA,NA,7
"Dougall__A.L.",3,NA,NA,NA,3
"Dourado__R.A.",4,NA,NA,NA,4
"Douzal-Chouakria__A.",7,NA,7,NA,NA
"Dowell__N.",15,NA,6,3,8
"Drachsler__H.",39,9,23,13,4
"Duan__X.",5,NA,NA,NA,5
"Dubrawski__A.",1,NA,NA,1,NA
"Duckworth__A.L.",7,NA,NA,4,5
"Duff__A.",3,NA,NA,NA,3
"Duguépéroux__J.",3,NA,NA,3,NA
"Duin__A.H.",3,3,NA,NA,NA
"Duivesteijn__W.",4,NA,NA,NA,4
"Dupont__M.",1,NA,1,NA,NA
"Duran__N.D.",4,NA,NA,NA,4
"Durand__G.",4,NA,NA,4,NA
"Durić__D.",6,NA,6,NA,NA
"Duval__E.",18,7,15,NA,NA
"Dwyer__N.",1,1,NA,NA,NA
"Dyckhoff__A.L.",4,4,NA,NA,NA
"Eagan__B.",7,NA,NA,4,3
"Eagle__M.",11,NA,6,5,NA
"Eaglem__M.",3,NA,3,NA,NA
"Ebner__M.",4,3,3,NA,NA
"Echeverria__V.",8,NA,NA,8,NA
"Economides__A.A.",6,2,2,3,NA
"Edwards__R.L.",3,NA,NA,3,NA
"Edwards__T.",5,NA,5,NA,NA
"Effenberger__T.",2,NA,NA,NA,2
"Elbadrawy__A.",2,NA,2,NA,1
"Elen__J.",2,NA,NA,2,NA
"Elizabeth_Richey__J.",3,NA,NA,NA,3
"Ellis__R.A.",3,NA,3,NA,NA
"Elouazizi__N.",6,NA,NA,6,NA
"Epp__C.D.",0,NA,0,NA,NA
"Erfani__S.",5,NA,NA,NA,5
"Erickson__J.A.",4,NA,NA,NA,4
"Esme__A.A.",6,NA,NA,6,NA
"Essa__A.",11,5,3,6,NA
"Ez-Zaouia__M.",1,NA,NA,1,NA
"Ezen-Can__A.",5,NA,5,NA,NA
"Fabregat__R.",3,NA,NA,3,NA
"Facciotti__M.T.",7,NA,NA,NA,7
"Fadljevic__L.",4,NA,NA,NA,4
"Falcão__T.P.",5,NA,NA,NA,5
"Falcones__G.",5,NA,NA,5,NA
"Falkner__K.",1,NA,NA,1,NA
"Fan__Y.",3,NA,NA,3,NA
"Fancsali__S.E.",5,1,NA,5,NA
"Fanfarelli__J.R.",1,NA,1,NA,NA
"Farrington-Flint__L.",9,NA,9,NA,NA
"Farrow__E.",3,NA,NA,NA,3
"Fatt__S.J.",3,NA,3,NA,NA
"Faucon__L.",2,NA,NA,NA,2
"Faulkner__M.",4,NA,NA,NA,4
"Feild__J.",6,NA,NA,6,NA
"Feng__G.",1,NA,1,NA,NA
"Feng__M.",3,NA,3,NA,NA
"Ferguson__R.",42,18,22,8,2
"Ferreira__M.",5,NA,NA,NA,5
"Ferschke__O.",4,NA,4,NA,NA
"Feskens__R.",4,NA,NA,NA,4
"Fessant__F.",3,NA,NA,3,NA
"Fessl__A.",6,NA,NA,6,NA
"Fiacco__J.",2,NA,NA,NA,2
"Fiallos__A.",1,NA,NA,NA,1
"Field__D.",4,NA,4,NA,NA
"Fields__B.",2,NA,NA,2,NA
"Fikes__T.G.",2,NA,NA,NA,2
"Fincham__E.",5,NA,NA,NA,5
"Finzer__W.",8,NA,8,NA,NA
"Fiorini__S.",6,NA,NA,6,NA
"Fisher__A.",4,4,NA,NA,NA
"Fishman__B.",6,2,5,NA,NA
"Flanagan__B.",6,NA,NA,2,5
"Fleming__M.",5,NA,NA,5,NA
"Fogel__J.",4,NA,NA,4,NA
"Fornacciari__P.",5,NA,NA,5,NA
"Fortenbacher__A.",7,NA,NA,7,NA
"Fougt__S.S.",9,NA,NA,9,NA
"Fournier-Viger__P.",2,NA,NA,NA,2
"Frazee__J.P.",2,NA,2,NA,NA
"Freeman__J.D.",0,NA,0,NA,NA
"Freitas__F.",6,NA,NA,NA,6
"Fridman__I.",5,NA,NA,5,NA
"Fu__X.",4,NA,NA,4,NA
"Fudge__A.",9,NA,NA,NA,9
"Fuglik__V.",4,NA,NA,NA,4
"Fujita__N.",1,1,NA,NA,NA
"Funel__A.",9,NA,NA,NA,9
"Furukawa__M.",2,NA,NA,2,NA
"Göhnert__T.",8,7,1,NA,NA
"Gómez-Sánchez__E.",1,NA,NA,1,NA
"Gaševíc__D.",19,NA,19,NA,NA
"Gaševícy__D.",11,NA,11,NA,NA
"Gašević__D.",52,4,15,30,20
"Gaševic__D.",41,NA,11,NA,34
"Gadiraju__U.",1,NA,NA,1,NA
"Gago__D.",4,4,NA,NA,NA
"Gal__K.",7,NA,NA,NA,7
"Gal__T.",1,NA,NA,NA,1
"Gal__Y.",2,NA,2,NA,NA
"Gallicchio__C.",4,NA,4,NA,NA
"Galyardt__A.",5,NA,NA,5,NA
"Gamrat__C.",1,NA,1,NA,NA
"Gandhi__P.",3,NA,3,NA,NA
"Gao__J.",7,NA,NA,7,NA
"Gao__S.",5,5,NA,NA,NA
"Gardener__M.",7,NA,NA,4,5
"Gardner__J.",4,NA,NA,2,3
"Gasevic__D.",23,7,NA,7,9
"Gasteiger-Klicpera__B.",4,NA,NA,NA,4
"Gaussier__E.",2,NA,2,NA,NA
"Gautrais__C.",1,NA,NA,NA,1
"Gauvin__L.",4,NA,4,NA,NA
"Gebhardt__K.",3,NA,NA,3,NA
"Gehlbach__H.",4,NA,4,NA,NA
"Geller__S.A.",7,NA,NA,NA,7
"Gemmell__J.",4,NA,NA,4,NA
"Genc__U.",6,NA,NA,6,NA
"George__C.P.",3,NA,NA,NA,3
"Giacaman__N.",3,NA,NA,NA,3
"Giammattei__D.",9,NA,NA,NA,9
"Giannakos__M.",7,NA,NA,4,5
"Giannakos__M.N.",11,4,3,3,2
"Giannotti__F.",2,NA,NA,2,NA
"Gibberd__A.J.",1,NA,1,NA,NA
"Gibson__A.",11,2,1,10,NA
"Giesbers__B.",7,NA,NA,7,NA
"Gillet__D.",15,2,15,NA,NA
"Gillois__P.",3,NA,NA,3,3
"Ginn__J.",7,NA,NA,7,NA
"Ginon__B.",6,NA,6,NA,NA
"Gobert__J.D.",2,2,NA,NA,NA
"Godfrey__A.",4,NA,NA,NA,4
"Goggins__S.",2,2,1,NA,NA
"Goldsmith__R.",5,NA,5,NA,NA
"Gomez__M.",3,NA,NA,3,NA
"Gonda__D.",7,NA,NA,7,NA
"Gong__W.",2,NA,NA,2,NA
"Goodrich__V.",5,4,4,NA,NA
"Goutte__C.",4,NA,NA,4,NA
"Govaerts__S.",9,3,8,NA,NA
"Govindarajan__S.K.P.",2,NA,2,NA,NA
"Gowda__S.M.",3,3,NA,NA,NA
"Graesser__A.C.",6,NA,6,NA,NA
"Graf__S.",5,NA,NA,5,NA
"Grafsgaard__J.F.",3,NA,3,NA,NA
"Granda__R.",5,NA,NA,5,NA
"Grann__J.",1,1,NA,NA,NA
"Gravier__G.",4,NA,4,NA,NA
"Grawemeyer__B.",5,NA,5,NA,NA
"Gray__G.",2,NA,NA,2,NA
"Gray__P.",1,NA,NA,NA,1
"Greenberg__A.K.",2,2,NA,NA,NA
"Greenway__G.",3,NA,NA,3,NA
"Greer__J.",12,1,3,9,NA
"Greller__W.",1,NA,1,NA,NA
"Griffiths__D.",8,NA,NA,8,NA
"Grom__G.",4,NA,NA,4,NA
"Gromov__A.",5,NA,NA,NA,5
"Groot__P.",4,NA,4,NA,NA
"Gross__E.",3,NA,3,NA,NA
